,fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
0,0,US,5.4,"67,340"
1,1000,AL,3.4,"53,958"
2,1001,AL,2.8,"67,565"
3,1003,AL,3.0,"71,135"
4,1005,AL,5.7,"38,866"
5,1007,AL,3.5,"50,907"
6,1009,AL,2.4,"55,203"
7,1011,AL,4.0,"33,124"
8,1013,AL,5.3,"42,268"
9,1015,AL,4.1,"50,259"
10,1017,AL,3.7,"39,318"
11,1019,AL,2.5,"50,388"
12,1021,AL,2.9,"52,693"
13,1023,AL,4.4,"41,649"
14,1025,AL,6.0,"44,178"
15,1027,AL,2.7,"44,763"
16,1029,AL,2.6,"50,134"
17,1031,AL,2.8,"54,203"
18,1033,AL,4.0,"54,185"
19,1035,AL,4.8,"34,664"
20,1037,AL,3.1,"46,509"
21,1039,AL,3.0,"43,544"
22,1041,AL,3.3,"45,927"
23,1043,AL,2.4,"51,844"
24,1045,AL,3.1,"48,493"
25,1047,AL,7.4,"37,679"
26,1049,AL,2.5,"47,156"
27,1051,AL,2.7,"62,524"
28,1053,AL,4.1,"41,212"
29,1055,AL,4.1,"47,872"
30,1057,AL,3.1,"45,937"
31,1059,AL,2.5,"40,448"
32,1061,AL,2.8,"39,882"
33,1063,AL,6.9,"33,609"
34,1065,AL,5.7,"41,836"
35,1067,AL,3.2,"51,126"
36,1069,AL,3.4,"54,391"
37,1071,AL,2.9,"46,606"
38,1073,AL,3.6,"57,802"
39,1075,AL,3.0,"40,204"
40,1077,AL,3.2,"52,293"
41,1079,AL,2.9,"48,924"
42,1081,AL,2.8,"58,963"
43,1083,AL,2.5,"70,850"
44,1085,AL,9.2,"37,499"
45,1087,AL,6.0,"37,736"
46,1089,AL,2.7,"67,810"
47,1091,AL,4.2,"43,198"
48,1093,AL,2.8,"44,333"
49,1095,AL,2.4,"51,417"
50,1097,AL,4.7,"50,871"
51,1099,AL,5.6,"38,812"
52,1101,AL,4.9,"49,607"
53,1103,AL,2.6,"55,688"
54,1105,AL,8.3,"33,712"
55,1107,AL,4.1,"41,870"
56,1109,AL,3.2,"43,141"
57,1111,AL,2.7,"46,679"
58,1113,AL,3.1,"40,821"
59,1115,AL,2.6,"61,973"
60,1117,AL,2.1,"88,444"
61,1119,AL,4.5,"32,275"
62,1121,AL,4.1,"44,802"
63,1123,AL,4.0,"46,654"
64,1125,AL,3.6,"56,610"
65,1127,AL,3.6,"46,519"
66,1129,AL,4.7,"36,346"
67,1131,AL,11.0,"31,909"
68,1133,AL,2.8,"46,453"
69,2000,AK,6.4,"79,961"
70,2013,AK,2.3,"79,128"
71,2016,AK,3.6,"92,216"
72,2020,AK,5.8,"84,577"
73,2050,AK,13.1,"52,214"
74,2060,AK,5.6,"87,032"
75,2063,AK,6.7,"84,063"
76,2066,AK,8.9,"61,215"
77,2068,AK,10.1,"80,192"
78,2070,AK,8.2,"72,334"
79,2090,AK,5.0,"76,650"
80,2100,AK,11.3,"105,044"
81,2105,AK,9.3,"55,593"
82,2110,AK,4.7,"89,204"
83,2122,AK,7.3,"68,448"
84,2130,AK,7.4,"76,780"
85,2150,AK,6.4,"72,028"
86,2158,AK,19.9,"37,566"
87,2164,AK,8.9,"54,386"
88,2170,AK,6.8,"89,502"
89,2180,AK,9.7,"64,309"
90,2185,AK,6.3,"94,759"
91,2188,AK,11.5,"65,194"
92,2195,AK,7.0,"66,096"
93,2198,AK,8.0,"53,638"
94,2201,AK,,
95,2220,AK,4.5,"79,363"
96,2230,AK,14.2,"78,421"
97,2232,AK,,
98,2240,AK,6.6,"64,544"
99,2261,AK,,
100,2275,AK,7.5,"64,643"
101,2280,AK,,
102,2282,AK,7.1,"68,352"
103,2290,AK,12.4,"43,060"
104,4000,AZ,4.9,"64,652"
105,4001,AZ,9.1,"36,319"
106,4003,AZ,4.8,"51,171"
107,4005,AZ,6.0,"57,146"
108,4007,AZ,5.0,"49,280"
109,4009,AZ,4.1,"55,419"
110,4011,AZ,4.0,"67,530"
111,4012,AZ,5.1,"41,637"
112,4013,AZ,4.5,"71,799"
113,4015,AZ,5.5,"46,678"
114,4017,AZ,6.5,"46,698"
115,4019,AZ,5.0,"56,551"
116,4021,AZ,4.7,"66,992"
117,4023,AZ,8.7,"44,402"
118,4025,AZ,4.1,"58,860"
119,4027,AZ,12.9,"54,278"
120,5000,AR,4.0,"51,146"
121,5001,AR,3.4,"51,186"
122,5003,AR,7.4,"44,677"
123,5005,AR,3.7,"44,833"
124,5007,AR,2.8,"78,678"
125,5009,AR,3.0,"48,153"
126,5011,AR,4.7,"41,578"
127,5013,AR,3.3,"50,865"
128,5015,AR,3.4,"45,397"
129,5017,AR,8.6,"35,992"
130,5019,AR,4.7,"46,464"
131,5021,AR,4.0,"43,723"
132,5023,AR,4.6,"49,964"
133,5025,AR,4.0,"57,697"
134,5027,AR,5.3,"44,925"
135,5029,AR,4.2,"47,049"
136,5031,AR,3.3,"51,797"
137,5033,AR,3.6,"54,534"
138,5035,AR,5.4,"47,545"
139,5037,AR,4.4,"40,587"
140,5039,AR,4.1,"34,649"
141,5041,AR,5.9,"37,421"
142,5043,AR,5.0,"46,787"
143,5045,AR,3.5,"57,367"
144,5047,AR,3.7,"47,256"
145,5049,AR,3.6,"39,839"
146,5051,AR,5.0,"46,459"
147,5053,AR,3.2,"62,077"
148,5055,AR,3.4,"53,821"
149,5057,AR,3.5,"42,790"
