,county,fips,ST,lat,lng,population
0,Los Angeles,6037,CA,34.3209,-118.2247,10040682
1,Cook,17031,IL,41.8401,-87.8168,5169517
2,Harris,48201,TX,29.8578,-95.3936,4680609
3,Maricopa,4013,AZ,33.349,-112.4915,4412779
4,San Diego,6073,CA,33.0343,-116.735,3323970
5,Orange,6059,CA,33.7031,-117.7609,3170345
6,Miami-Dade,12086,FL,25.6149,-80.5623,2705528
7,Dallas,48113,TX,32.7666,-96.7778,2622634
8,Kings,36047,NY,40.6395,-73.9385,2576771
9,Riverside,6065,CA,33.7437,-115.9938,2437864
10,Queens,36081,NY,40.7023,-73.8203,2270976
11,Clark,32003,NV,36.2152,-115.0135,2228866
12,King,53033,WA,47.4902,-121.8052,2225064
13,San Bernardino,6071,CA,34.8414,-116.1785,2162532
14,Tarrant,48439,TX,32.7719,-97.2911,2077153
15,Bexar,48029,TX,29.4489,-98.52,1978826
16,Broward,12011,FL,26.1523,-80.4871,1942273
17,Santa Clara,6085,CA,37.2318,-121.6951,1924379
18,Wayne,26163,MI,42.2819,-83.2822,1753059
19,Alameda,6001,CA,37.6469,-121.8888,1661584
20,New York,36061,NY,40.7784,-73.9674,1629153
21,Middlesex,25017,MA,42.4856,-71.3918,1605899
22,Philadelphia,42101,PA,40.0077,-75.1339,1581531
23,Sacramento,6067,CA,38.4493,-121.3443,1537948
24,Palm Beach,12099,FL,26.6476,-80.4655,1482057
25,Suffolk,36103,NY,40.8686,-72.8448,1481364
26,Hillsborough,12057,FL,27.9292,-82.3092,1451358
27,Bronx,36005,NY,40.85,-73.8661,1427056
28,Orange,12095,FL,28.5144,-81.3235,1373784
29,Nassau,36059,NY,40.7328,-73.5865,1355683
30,Franklin,39049,OH,39.9695,-83.0093,1304715
31,Oakland,26125,MI,42.6604,-83.3858,1255340
32,Hennepin,27053,MN,45.0045,-93.477,1255296
33,Travis,48453,TX,30.3344,-97.782,1250884
34,Cuyahoga,39035,OH,41.4243,-81.6586,1241475
35,Allegheny,42003,PA,40.4688,-79.9812,1218380
36,Fairfax,51059,VA,38.8368,-77.277,1149439
37,Contra Costa,6013,CA,37.9191,-121.9277,1147788
38,Salt Lake,49035,UT,40.6673,-111.9236,1146215
39,Mecklenburg,37119,NC,35.2467,-80.8328,1095170
40,Wake,37183,NC,35.7903,-78.6503,1091662
41,Fulton,13121,GA,33.7903,-84.467,1051550
42,Montgomery,24031,MD,39.1363,-77.2042,1047661
43,Pima,4019,AZ,32.0974,-111.7899,1038476
44,Collin,48085,TX,33.188,-96.5724,1006038
45,St. Louis,29189,MO,38.6407,-90.4434,996179
46,Fresno,6019,CA,36.7582,-119.6493,990204
47,Honolulu,15003,HI,21.5008,-158.1053,979682
48,Pinellas,12103,FL,27.9199,-82.7256,970985
49,Westchester,36119,NY,41.1624,-73.7561,968738
50,Marion,18097,IN,39.7817,-86.1385,957337
51,Milwaukee,55079,WI,43.0072,-87.9669,949180
52,Duval,12031,FL,30.3316,-81.6708,948651
53,Fairfield,9001,CT,41.2711,-73.3893,944306
54,Shelby,47157,TN,35.1842,-89.894,936611
55,Bergen,34003,NJ,40.9597,-74.0742,931275
56,Gwinnett,13135,GA,33.9617,-84.0236,926414
57,DuPage,17043,IL,41.852,-88.0856,926005
58,Erie,36029,NY,42.7639,-78.7323,918873
59,Prince George's,24033,MD,38.8295,-76.8473,910551
60,Kern,6029,CA,35.3426,-118.7301,892458
61,Hartford,9003,CT,41.8064,-72.7329,892153
62,Pierce,53053,WA,47.0241,-122.1046,891862
63,San Francisco,6075,CA,37.7558,-122.4449,874784
64,Macomb,26099,MI,42.6957,-82.9323,870893
65,Denton,48121,TX,33.2055,-97.1168,861690
66,Hidalgo,48215,TX,26.3967,-98.1811,861137
67,New Haven,9009,CT,41.4106,-72.9321,855733
68,Ventura,6111,CA,34.4561,-119.0836,845599
69,El Paso,48141,TX,31.7686,-106.2348,836915
70,Baltimore,24005,MD,39.4627,-76.6393,828193
71,Montgomery,42091,PA,40.2108,-75.3673,827180
72,Worcester,25027,MA,42.3514,-71.9077,826655
73,Middlesex,34023,NJ,40.4392,-74.4117,825015
74,Hamilton,39061,OH,39.1955,-84.5428,815790
75,Snohomish,53061,WA,48.0475,-121.6975,811572
76,Multnomah,41051,OR,45.5468,-122.4148,809869
77,Suffolk,25025,MA,42.3334,-71.0719,801162
78,Essex,34013,NJ,40.7872,-74.2471,798698
79,Oklahoma,40109,OK,35.5515,-97.4072,792668
80,Fort Bend,48157,TX,29.5275,-95.7709,790892
81,Essex,25009,MA,42.6732,-70.952,787038
82,Jefferson,21111,KY,38.1872,-85.6591,768419
83,San Mateo,6081,CA,37.4229,-122.329,765623
84,Cobb,13067,GA,33.9415,-84.5767,756653
85,Lee,12071,FL,26.5779,-81.8337,756570
86,DeKalb,13089,GA,33.7715,-84.2264,755287
87,San Joaquin,6077,CA,37.9348,-121.2714,751615
88,Monroe,36055,NY,43.1464,-77.6961,743084
89,Denver,8031,CO,39.762,-104.8758,715878
90,El Paso,8041,CO,38.8321,-104.5255,710499
91,Polk,12105,FL,27.9489,-81.6977,705735
92,Norfolk,25021,MA,42.1605,-71.2114,703740
93,District of Columbia,11001,DC,38.9047,-77.0163,701974
94,Jackson,29095,MO,39.0085,-94.3461,700733
95,Lake,17097,IL,42.3233,-88.0037,699682
96,Davidson,47037,TN,36.1695,-86.7847,690540
97,Will,17197,IL,41.445,-87.9786,689704
98,Bernalillo,35001,NM,35.0514,-106.6702,679037
99,Hudson,34017,NJ,40.7371,-74.0779,671923
100,Jefferson,1073,AL,33.5543,-86.8964,658615
101,Kent,26081,MI,43.0322,-85.5493,652617
102,Tulsa,40143,OK,36.1211,-95.9415,650291
103,Arapahoe,8005,CO,39.6498,-104.3392,649980
104,Providence,44007,RI,41.8721,-71.58,636161
105,Bucks,42017,PA,40.337,-75.1069,627668
106,Utah,49049,UT,40.1199,-111.6703,621506
107,Monmouth,34025,NJ,40.2603,-74.2213,620821
108,Baltimore,24510,MD,39.3051,-76.6144,602274
