,date,county,fips,cases,deaths,ST
94427,2022-09-14,Autauga,1001,18233,226.0,AL
94428,2022-09-14,Baldwin,1003,65088,702.0,AL
94429,2022-09-14,Barbour,1005,6826,101.0,AL
94430,2022-09-14,Bibb,1007,7450,107.0,AL
94431,2022-09-14,Blount,1009,16673,254.0,AL
94432,2022-09-14,Bullock,1011,2783,54.0,AL
94433,2022-09-14,Butler,1013,5975,129.0,AL
94434,2022-09-14,Calhoun,1015,36319,647.0,AL
94435,2022-09-14,Chambers,1017,9925,167.0,AL
94436,2022-09-14,Cherokee,1019,5931,87.0,AL
94437,2022-09-14,Chilton,1021,12275,213.0,AL
94438,2022-09-14,Choctaw,1023,2179,37.0,AL
94439,2022-09-14,Clarke,1025,7983,104.0,AL
94440,2022-09-14,Clay,1027,4702,85.0,AL
94441,2022-09-14,Cleburne,1029,4061,70.0,AL
94442,2022-09-14,Coffee,1031,15809,240.0,AL
94443,2022-09-14,Colbert,1033,19287,266.0,AL
94444,2022-09-14,Conecuh,1035,3313,72.0,AL
94445,2022-09-14,Coosa,1037,3454,60.0,AL
94446,2022-09-14,Covington,1039,10639,247.0,AL
94447,2022-09-14,Crenshaw,1041,4347,103.0,AL
94448,2022-09-14,Cullman,1043,28675,376.0,AL
94449,2022-09-14,Dale,1045,15219,242.0,AL
94450,2022-09-14,Dallas,1047,9997,254.0,AL
94451,2022-09-14,DeKalb,1049,21035,338.0,AL
94452,2022-09-14,Elmore,1051,27369,358.0,AL
94453,2022-09-14,Escambia,1053,11436,175.0,AL
94454,2022-09-14,Etowah,1055,31562,666.0,AL
94455,2022-09-14,Fayette,1057,5479,97.0,AL
94456,2022-09-14,Franklin,1059,11115,140.0,AL
94457,2022-09-14,Geneva,1061,7347,170.0,AL
94458,2022-09-14,Greene,1063,2121,51.0,AL
94459,2022-09-14,Hale,1065,5351,109.0,AL
94460,2022-09-14,Henry,1067,5344,78.0,AL
94461,2022-09-14,Houston,1069,29970,522.0,AL
94462,2022-09-14,Jackson,1071,16816,248.0,AL
94463,2022-09-14,Jefferson,1073,216936,2437.0,AL
94464,2022-09-14,Lamar,1075,4335,68.0,AL
94465,2022-09-14,Lauderdale,1077,27951,405.0,AL
94466,2022-09-14,Lawrence,1079,8762,169.0,AL
94467,2022-09-14,Lee,1081,43774,349.0,AL
94468,2022-09-14,Limestone,1083,29232,304.0,AL
94469,2022-09-14,Lowndes,1085,3030,80.0,AL
94470,2022-09-14,Macon,1087,4753,88.0,AL
94471,2022-09-14,Madison,1089,105797,1001.0,AL
94472,2022-09-14,Marengo,1091,5770,111.0,AL
94473,2022-09-14,Marion,1093,9264,154.0,AL
94474,2022-09-14,Marshall,1095,30601,400.0,AL
94475,2022-09-14,Mobile,1097,127174,1721.0,AL
94476,2022-09-14,Monroe,1099,6121,81.0,AL
94477,2022-09-14,Montgomery,1101,66015,990.0,AL
94478,2022-09-14,Morgan,1103,42317,527.0,AL
94479,2022-09-14,Perry,1105,2450,47.0,AL
94480,2022-09-14,Pickens,1107,5895,111.0,AL
94481,2022-09-14,Pike,1109,8659,138.0,AL
94482,2022-09-14,Randolph,1111,5816,75.0,AL
94483,2022-09-14,Russell,1113,11914,97.0,AL
94484,2022-09-14,Shelby,1117,70051,469.0,AL
94485,2022-09-14,St. Clair,1115,29702,431.0,AL
94486,2022-09-14,Sumter,1119,2926,52.0,AL
94487,2022-09-14,Talladega,1121,26285,383.0,AL
94488,2022-09-14,Tallapoosa,1123,13405,247.0,AL
94489,2022-09-14,Tuscaloosa,1125,65131,809.0,AL
94491,2022-09-14,Walker,1127,21988,458.0,AL
94492,2022-09-14,Washington,1129,4136,59.0,AL
94493,2022-09-14,Wilcox,1131,3374,48.0,AL
94494,2022-09-14,Winston,1133,8528,135.0,AL
94495,2022-09-14,Aleutians East Borough,2013,1266,4.0,AK
94496,2022-09-14,Aleutians West Census Area,2016,1875,2.0,AK
94497,2022-09-14,Anchorage,2020,119541,557.0,AK
94498,2022-09-14,Bethel Census Area,2050,12048,44.0,AK
94499,2022-09-14,Bristol Bay plus Lake and Peninsula,2997,1187,1.0,AK
94500,2022-09-14,Denali Borough,2068,1775,2.0,AK
94501,2022-09-14,Dillingham Census Area,2070,2140,12.0,AK
