,fips,Recip_County,ST,Vax_Pct
0,1001,Autauga County,AL,45.1
1,1003,Baldwin County,AL,52.2
2,1005,Barbour County,AL,46.7
3,1007,Bibb County,AL,35.8
4,1009,Blount County,AL,32.4
5,1011,Bullock County,AL,55.7
6,1013,Butler County,AL,40.3
7,1015,Calhoun County,AL,48.1
8,1017,Chambers County,AL,32.5
9,1019,Cherokee County,AL,31.6
10,1021,Chilton County,AL,37.0
11,1023,Choctaw County,AL,67.7
12,1025,Clarke County,AL,51.8
13,1027,Clay County,AL,43.0
14,1029,Cleburne County,AL,29.3
15,1031,Coffee County,AL,48.0
16,1033,Colbert County,AL,48.8
17,1035,Conecuh County,AL,44.7
18,1037,Coosa County,AL,41.5
19,1039,Covington County,AL,38.7
20,1041,Crenshaw County,AL,35.2
21,1043,Cullman County,AL,38.8
22,1045,Dale County,AL,48.6
23,1047,Dallas County,AL,46.5
24,1049,DeKalb County,AL,34.7
25,1051,Elmore County,AL,47.5
26,1053,Escambia County,AL,37.4
27,1055,Etowah County,AL,41.9
28,1057,Fayette County,AL,35.8
29,1059,Franklin County,AL,44.6
30,1061,Geneva County,AL,40.9
31,1063,Greene County,AL,52.1
32,1065,Hale County,AL,62.3
33,1067,Henry County,AL,46.1
34,1069,Houston County,AL,44.1
35,1071,Jackson County,AL,50.4
36,1073,Jefferson County,AL,59.9
37,1075,Lamar County,AL,44.9
38,1077,Lauderdale County,AL,47.7
39,1079,Lawrence County,AL,47.8
40,1081,Lee County,AL,41.3
41,1083,Limestone County,AL,39.6
42,1085,Lowndes County,AL,52.7
43,1087,Macon County,AL,49.3
44,1089,Madison County,AL,63.8
45,1091,Marengo County,AL,55.2
46,1093,Marion County,AL,37.0
47,1095,Marshall County,AL,46.7
48,1097,Mobile County,AL,51.1
49,1099,Monroe County,AL,44.3
50,1101,Montgomery County,AL,53.7
51,1103,Morgan County,AL,44.4
52,1105,Perry County,AL,49.6
53,1107,Pickens County,AL,51.0
54,1109,Pike County,AL,43.0
55,1111,Randolph County,AL,33.7
56,1113,Russell County,AL,43.1
57,1115,St. Clair County,AL,40.0
58,1117,Shelby County,AL,37.1
59,1119,Sumter County,AL,53.2
60,1121,Talladega County,AL,37.3
61,1123,Tallapoosa County,AL,39.2
62,1125,Tuscaloosa County,AL,44.6
63,1127,Walker County,AL,48.3
64,1129,Washington County,AL,46.7
65,1131,Wilcox County,AL,54.7
66,1133,Winston County,AL,22.3
67,2013,Aleutians East Borough,AK,74.6
68,2016,Aleutians West Census Area,AK,63.6
69,2020,Anchorage Municipality,AK,68.7
70,2050,Bethel Census Area,AK,68.2
71,2060,Bristol Bay Borough,AK,95.0
72,2068,Denali Borough,AK,54.7
73,2070,Dillingham Census Area,AK,53.0
74,2090,Fairbanks North Star Borough,AK,61.6
75,2100,Haines Borough,AK,70.2
76,2105,Hoonah-Angoon Census Area,AK,71.0
77,2110,Juneau City and Borough,AK,78.2
78,2122,Kenai Peninsula Borough,AK,49.3
79,2130,Ketchikan Gateway Borough,AK,66.7
80,2150,Kodiak Island Borough,AK,66.1
81,2158,Kusilvak Census Area,AK,68.5
82,2164,Lake and Peninsula Borough,AK,59.9
83,2170,Matanuska-Susitna Borough,AK,41.5
84,2180,Nome Census Area,AK,71.2
85,2185,North Slope Borough,AK,39.8
86,2188,Northwest Arctic Borough,AK,62.3
87,2195,Petersburg Census Area,AK,77.0
88,2198,Prince of Wales-Hyder Census Area,AK,54.0
89,2220,Sitka City and Borough,AK,79.7
90,2230,Skagway Municipality,AK,73.3
91,2240,Southeast Fairbanks Census Area,AK,41.7
92,2261,Valdez-Cordova Census Area,AK,63.8
93,2275,Wrangell City and Borough,AK,59.7
94,2282,Yakutat City and Borough,AK,78.8
95,2290,Yukon-Koyukuk Census Area,AK,78.1
96,4001,Apache County,AZ,95.0
97,4003,Cochise County,AZ,67.4
98,4005,Coconino County,AZ,79.5
99,4007,Gila County,AZ,60.6
100,4009,Graham County,AZ,65.4
101,4011,Greenlee County,AZ,44.6
102,4012,La Paz County,AZ,49.6
103,4013,Maricopa County,AZ,58.8
104,4015,Mohave County,AZ,42.6
105,4017,Navajo County,AZ,80.1
106,4019,Pima County,AZ,71.2
107,4021,Pinal County,AZ,55.4
108,4023,Santa Cruz County,AZ,95.0
109,4025,Yavapai County,AZ,48.3
110,4027,Yuma County,AZ,72.6
