fips,ST,lat,lng,population,Recip_County,Vax_Pct,date,county,cases,deaths,Unemployment_rate_2021,Median_Household_Income_2020
6037,CA,34.3209,-118.2247,10040682,Los Angeles County,73.6,2022-09-14,Los Angeles,3434458.0,33414.0,8.9,75624
17031,IL,41.8401,-87.8168,5169517,Cook County,73.7,2022-09-14,Cook,1392834.0,15312.0,7.0,71611
48201,TX,29.8578,-95.3936,4680609,Harris County,64.7,2022-09-14,Harris,1208024.0,11270.0,6.5,61906
4013,AZ,33.349,-112.4915,4412779,Maricopa County,58.8,2022-09-14,Maricopa,1421340.0,17865.0,4.5,71799
6073,CA,33.0343,-116.735,3323970,San Diego County,77.9,2022-09-14,San Diego,986208.0,5474.0,6.5,87126
6059,CA,33.7031,-117.7609,3170345,Orange County,73.3,2022-09-14,Orange,721702.0,7389.0,6.0,98786
12086,FL,25.6149,-80.5623,2705528,Miami-Dade County,86.8,2022-09-14,Miami-Dade,1444021.0,11678.0,5.2,59259
48113,TX,32.7666,-96.7778,2622634,Dallas County,61.2,2022-09-14,Dallas,655208.0,6896.0,5.6,65770
6065,CA,33.7437,-115.9938,2437864,Riverside County,60.7,2022-09-14,Riverside,724864.0,6673.0,7.3,76409
32003,NV,36.2152,-115.0135,2228866,Clark County,58.9,2022-09-14,Clark,638710.0,8930.0,8.3,62496
53033,WA,47.4902,-121.8052,2225064,King County,82.8,2022-09-14,King,510571.0,3145.0,4.3,102620
6071,CA,34.8414,-116.1785,2162532,San Bernardino County,59.1,2022-09-14,San Bernardino,692549.0,8057.0,7.4,65984
48439,TX,32.7719,-97.2911,2077153,Tarrant County,57.2,2022-09-14,Tarrant,644102.0,6080.0,5.3,72064
48029,TX,29.4489,-98.52,1978826,Bexar County,71.0,2022-09-14,Bexar,654816.0,6313.0,5.4,60477
12011,FL,26.1523,-80.4871,1942273,Broward County,72.6,2022-09-14,Broward,726187.0,6333.0,4.9,63901
6085,CA,37.2318,-121.6951,1924379,Santa Clara County,87.8,2022-09-14,Santa Clara,445503.0,2478.0,4.7,139462
26163,MI,42.2819,-83.2822,1753059,Wayne County,55.0,2022-09-14,Wayne,480911.0,8375.0,8.0,51777
6001,CA,37.6469,-121.8888,1661584,Alameda County,83.9,2022-09-14,Alameda,362660.0,2112.0,6.1,113518
25017,MA,42.4856,-71.3918,1605899,Middlesex County,81.7,2022-09-14,Middlesex,399943.0,4270.0,4.6,111158
42101,PA,40.0077,-75.1339,1581531,Philadelphia County,72.3,2022-09-14,Philadelphia,359969.0,5275.0,9.2,55102
6067,CA,38.4493,-121.3443,1537948,Sacramento County,69.1,2022-09-14,Sacramento,376253.0,3425.0,7.0,72953
12099,FL,26.6476,-80.4655,1482057,Palm Beach County,67.5,2022-09-14,Palm Beach,445832.0,5575.0,4.3,68200
36103,NY,40.8686,-72.8448,1481364,Suffolk County,77.4,2022-09-14,Suffolk,507897.0,4587.0,4.6,109084
12057,FL,27.9292,-82.3092,1451358,Hillsborough County,64.3,2022-09-14,Hillsborough,451775.0,4121.0,4.3,65272
12095,FL,28.5144,-81.3235,1373784,Orange County,70.8,2022-09-14,Orange,449903.0,3077.0,5.2,69074
36059,NY,40.7328,-73.5865,1355683,Nassau County,84.1,2022-09-14,Nassau,491795.0,4009.0,4.5,122730
39049,OH,39.9695,-83.0093,1304715,Franklin County,65.5,2022-09-14,Franklin,336627.0,2683.0,5.0,62643
26125,MI,42.6604,-83.3858,1255340,Oakland County,67.0,2022-09-14,Oakland,348751.0,4104.0,4.7,82849
27053,MN,45.0045,-93.477,1255296,Hennepin County,75.8,2022-09-14,Hennepin,356366.0,2682.0,3.4,81772
48453,TX,30.3344,-97.782,1250884,Travis County,70.7,2022-09-14,Travis,273381.0,1786.0,4.0,82605
39035,OH,41.4243,-81.6586,1241475,Cuyahoga County,66.2,2022-09-14,Cuyahoga,315613.0,3910.0,6.5,55128
42003,PA,40.4688,-79.9812,1218380,Allegheny County,72.0,2022-09-14,Allegheny,315361.0,3525.0,6.1,64236
51059,VA,38.8368,-77.277,1149439,Fairfax County,79.0,2022-09-14,Fairfax,233357.0,1568.0,3.5,132509
6013,CA,37.9191,-121.9277,1147788,Contra Costa County,83.2,2022-09-14,Contra Costa,266455.0,1415.0,6.4,106484
49035,UT,40.6673,-111.9236,1146215,Salt Lake County,71.4,2022-09-14,Salt Lake,387367.0,1717.0,2.8,79294
37119,NC,35.2467,-80.8328,1095170,Mecklenburg County,66.3,2022-09-14,Mecklenburg,336751.0,1736.0,4.9,72340
37183,NC,35.7903,-78.6503,1091662,Wake County,77.2,2022-09-14,Wake,363398.0,1234.0,4.0,88763
13121,GA,33.7903,-84.467,1051550,Fulton County,57.5,2022-09-14,Fulton,259764.0,2495.0,4.7,71504
24031,MD,39.1363,-77.2042,1047661,Montgomery County,89.8,2022-09-14,Montgomery,220803.0,2165.0,5.5,115394
4019,AZ,32.0974,-111.7899,1038476,Pima County,71.2,2022-09-14,Pima,289898.0,3983.0,5.0,56551
48085,TX,33.188,-96.5724,1006038,Collin County,68.3,2022-09-14,Collin,255335.0,1549.0,4.3,101560
29189,MO,38.6407,-90.4434,996179,St. Louis County,65.9,2022-09-14,St. Louis,268680.0,3498.0,4.5,68964
6019,CA,36.7582,-119.6493,990204,Fresno County,62.5,2022-09-14,Fresno,302506.0,2835.0,9.2,61401
12103,FL,27.9199,-82.7256,970985,Pinellas County,65.8,2022-09-14,Pinellas,257073.0,3715.0,4.0,61532
36119,NY,41.1624,-73.7561,968738,Westchester County,84.0,2022-09-14,Westchester,302271.0,2812.0,4.8,103340
18097,IN,39.7817,-86.1385,957337,Marion County,58.6,2022-09-14,Marion,252930.0,3090.0,4.4,56185
55079,WI,43.0072,-87.9669,949180,Milwaukee County,66.0,2022-09-14,Milwaukee,314051.0,2368.0,5.4,52281
12031,FL,30.3316,-81.6708,948651,Duval County,62.1,2022-09-14,Duval,298881.0,3638.0,4.5,55202
9001,CT,41.2711,-73.3893,944306,Fairfield County,83.6,2022-09-14,Fairfield,241586.0,2804.0,6.1,98828
47157,TN,35.1842,-89.894,936611,Shelby County,56.9,2022-09-14,Shelby,276498.0,3480.0,6.8,50870
34003,NJ,40.9597,-74.0742,931275,Bergen County,79.3,2022-09-14,Bergen,284410.0,3556.0,6.0,107114
13135,GA,33.9617,-84.0236,926414,Gwinnett County,56.1,2022-09-14,Gwinnett,241015.0,1988.0,3.5,73460
17043,IL,41.852,-88.0856,926005,DuPage County,78.1,2022-09-14,DuPage,264311.0,1871.0,4.5,92101
36029,NY,42.7639,-78.7323,918873,Erie County,71.1,2022-09-14,Erie,249049.0,2750.0,5.5,59584
24033,MD,38.8295,-76.8473,910551,Prince George's County,76.9,2022-09-14,Prince George's,206063.0,2245.0,7.5,85246
6029,CA,35.3426,-118.7301,892458,Kern County,54.8,2022-09-14,Kern,282623.0,2532.0,10.0,58583
9003,CT,41.8064,-72.7329,892153,Hartford County,77.4,2022-09-14,Hartford,214161.0,3266.0,6.5,73476
53053,WA,47.0241,-122.1046,891862,Pierce County,66.9,2022-09-14,Pierce,227216.0,1508.0,6.1,80236
6075,CA,37.7558,-122.4449,874784,San Francisco County,85.3,2022-09-14,San Francisco,188454.0,1022.0,5.0,121722
26099,MI,42.6957,-82.9323,870893,Macomb County,57.3,2022-09-14,Macomb,272220.0,4184.0,5.9,64870
48121,TX,33.2055,-97.1168,861690,Denton County,62.1,2022-09-14,Denton,209895.0,1392.0,4.4,90880
48215,TX,26.3967,-98.1811,861137,Hidalgo County,77.9,2022-09-14,Hidalgo,247706.0,3987.0,9.3,46653
9009,CT,41.4106,-72.9321,855733,New Haven County,79.8,2022-09-14,New Haven,233223.0,2944.0,6.6,72517
6111,CA,34.4561,-119.0836,845599,Ventura County,73.3,2022-09-14,Ventura,221735.0,1558.0,6.2,90961
48141,TX,31.7686,-106.2348,836915,El Paso County,83.7,2022-09-14,El Paso,237570.0,3799.0,6.2,48522
24005,MD,39.4627,-76.6393,828193,Baltimore County,74.2,2022-09-14,Baltimore,156670.0,2610.0,5.7,79974
42091,PA,40.2108,-75.3673,827180,Montgomery County,80.5,2022-09-14,Montgomery,181575.0,2438.0,5.0,94094
25027,MA,42.3514,-71.9077,826655,Worcester County,71.9,2022-09-14,Worcester,221053.0,2737.0,5.9,77931
34023,NJ,40.4392,-74.4117,825015,Middlesex County,75.2,2022-09-14,Middlesex,243552.0,2938.0,5.7,95610
39061,OH,39.1955,-84.5428,815790,Hamilton County,63.8,2022-09-14,Hamilton,218291.0,2121.0,4.9,63919
53061,WA,48.0475,-121.6975,811572,Snohomish County,72.0,2022-09-14,Snohomish,189662.0,1284.0,5.0,93589
41051,OR,45.5468,-122.4148,809869,Multnomah County,80.6,2022-09-14,Multnomah,156063.0,1378.0,5.6,74707
