Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
9/7/2022,1001,36,Autauga County,AL,92.5,31825,57,31798,60.5,30868,64.9,28726,67,7956,89.2,25180,45.1,25180,47.9,2381,24.6,24512,51.5,22799,53.1,6499,72.8,9033,35.9,9033,35.9,8993,36.7,8730,38.3,6429,48.6,3750,57.7,1390,21.6,933,24.9,B,5,5,5,6,6,7,Metro,1,1,1,2,2,3,6,6,6,6,2,2,2,2,55869,52592,9688,47574,42904,8924
9/7/2022,1003,36,Baldwin County,AL,92.5,146676,65.7,146508,69.4,143912,74.7,136544,77.7,49705,95,116488,52.2,116483,55.2,7441,21,114769,59.6,109042,62.1,40433,86.3,43838,37.6,43838,37.6,43671,38.1,42758,39.2,34197,48.7,22740,56.2,8991,26.3,6979,30.7,A,2,2,1,2,2,4,Metro,2,2,1,2,2,4,2,2,2,2,2,2,2,2,223234,211195,35515,192649,175680,46830
9/7/2022,1005,36,Barbour County,AL,92.5,14042,56.9,14030,60,13773,64.3,13070,66.7,4170,85.8,11523,46.7,11523,49.3,778,20.6,11313,52.9,10745,54.8,3573,73.5,4162,36.1,4162,36.1,4151,36.7,4077,37.9,3383,50.9,2179,61,666,19.7,493,22.6,D,13,13,13,14,14,15,Non-metro,5,5,5,6,6,7,14,14,14,14,6,6,6,6,24686,23377,3773,21404,19604,4861
9/7/2022,1007,36,Bibb County,AL,92.5,9672,43.2,9658,45.7,9502,48.8,9051,50.7,2605,69.8,8013,35.8,8009,37.9,510,15.4,7885,40.5,7499,42,2334,62.5,3157,39.4,3157,39.4,3148,39.9,3092,41.2,2452,53.6,1486,63.7,683,27.9,528,35.5,C,9,9,9,9,9,10,Metro,1,1,1,1,1,2,10,10,11,10,2,2,3,2,22394,21148,3311,19480,17837,3733
9/7/2022,1009,36,Blount County,AL,92.5,22645,39.2,22636,41.6,22347,45.4,21282,47.7,6888,63.7,18760,32.4,18760,34.5,1049,10.7,18573,37.7,17711,39.7,5920,54.7,6636,35.4,6636,35.4,6629,35.7,6543,36.9,5275,48.4,3432,58,1145,21.7,859,25,B,5,5,5,5,5,6,Metro,1,1,1,1,1,2,6,6,6,6,2,2,2,2,57826,54388,9817,49234,44571,10814
9/7/2022,1011,36,Bullock County,AL,92.5,7173,71,7154,75,6979,80.4,6558,82,1784,95,5627,55.7,5627,59,491,31.9,5486,63.2,5136,64.2,1421,83.1,2213,39.3,2213,39.3,2203,40.2,2128,41.4,1545,52.3,835,58.8,327,21.2,207,24.8,D,14,14,14,14,14,16,Non-metro,6,6,6,6,6,8,14,15,15,14,6,7,7,6,10101,9536,1541,8677,7995,1711
9/7/2022,1013,36,Butler County,AL,92.5,9845,50.6,9840,53.6,9661,57.9,9155,60.3,3239,80,7832,40.3,7832,42.7,525,16.5,7715,46.3,7307,48.2,2697,66.6,2764,35.3,2764,35.3,2756,35.7,2721,37.2,2196,46.5,1419,52.6,451,20.5,329,23.2,D,13,13,13,13,13,15,Non-metro,5,5,5,5,5,7,14,14,14,14,6,6,6,6,19448,18348,3174,16675,15174,4049
9/7/2022,1015,36,Calhoun County,AL,92.5,66238,58.3,66206,61.9,65180,66.7,62010,69.6,19487,94.8,54616,48.1,54612,51,3100,17.3,53952,55.2,51512,57.8,16816,81.8,20672,37.8,20672,37.9,20638,38.3,20327,39.5,16078,51,10241,60.9,4012,25,2947,28.8,D,13,14,13,14,14,16,Metro,1,2,1,2,2,4,14,14,14,14,2,2,2,2,113605,107037,17905,97757,89132,20547
9/7/2022,1017,36,Chambers County,AL,92.5,12941,38.9,12929,41.2,12743,44.5,12181,46.2,4048,60.3,10808,32.5,10808,34.5,596,11.8,10665,37.3,10212,38.8,3499,52.1,4225,39.1,4225,39.1,4209,39.5,4154,40.7,3439,51.4,2091,59.8,864,25.1,610,29.2,C,9,9,9,9,9,10,Non-metro,5,5,5,5,5,6,10,10,11,10,6,6,7,6,33254,31372,5031,28624,26341,6715
9/7/2022,1019,36,Cherokee County,AL,92.5,10113,38.6,10111,40.5,10045,43.5,9750,45.9,4040,65.5,8268,31.6,8268,33.1,281,7.5,8227,35.7,7987,37.6,3365,54.6,3298,39.9,3298,39.9,3296,40.1,3267,40.9,2787,49.4,1924,57.2,603,21.6,481,25,B,5,5,5,5,5,6,Non-metro,5,5,5,5,5,6,6,7,7,6,6,7,7,6,26196,24983,3734,23072,21249,6164
9/7/2022,1021,36,Chilton County,AL,92.5,20014,45,20001,47.9,19625,52.4,18597,55,5915,77.8,16459,37,16458,39.5,1119,14.2,16203,43.2,15339,45.3,5092,67,5685,34.5,5685,34.5,5670,35,5574,36.3,4587,47.9,2910,57.1,840,18.3,601,20.7,D,13,13,13,13,13,15,Metro,1,1,1,1,1,3,14,14,14,14,2,2,2,2,44428,41717,7880,37470,33837,7600
9/7/2022,1023,36,Choctaw County,AL,92.5,10563,83.9,10552,88.5,10390,94.2,9975,95,3590,95,8519,67.7,8518,71.4,389,21.4,8427,76.4,8129,80.4,3008,95,3252,38.2,3252,38.2,3246,38.5,3215,39.5,2723,49.3,1761,58.5,704,25.9,518,29.4,D,15,15,13,15,16,16,Non-metro,7,7,5,7,8,8,14,14,14,14,6,6,6,6,12589,11927,1818,11029,10109,2969
9/7/2022,1025,36,Clarke County,AL,92.5,15066,63.8,15060,67.7,14820,72.7,14063,75.7,4545,93.8,12246,51.8,12246,55,762,20.8,12083,59.3,11484,61.8,3905,80.6,4713,38.5,4713,38.5,4706,38.9,4666,40.6,3843,51.7,2389,61.2,925,24.1,644,27,D,14,14,13,14,14,16,Non-metro,6,6,5,6,6,8,14,14,15,14,6,6,7,6,23622,22251,3662,20387,18589,4843
