fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
1001,AL,2.8,67565
1003,AL,3.0,71135
1005,AL,5.7,38866
1007,AL,3.5,50907
1009,AL,2.4,55203
1011,AL,4.0,33124
1013,AL,5.3,42268
1015,AL,4.1,50259
1017,AL,3.7,39318
1019,AL,2.5,50388
1021,AL,2.9,52693
1023,AL,4.4,41649
1025,AL,6.0,44178
1027,AL,2.7,44763
1029,AL,2.6,50134
1031,AL,2.8,54203
1033,AL,4.0,54185
1035,AL,4.8,34664
1037,AL,3.1,46509
1039,AL,3.0,43544
1041,AL,3.3,45927
1043,AL,2.4,51844
1045,AL,3.1,48493
1047,AL,7.4,37679
1049,AL,2.5,47156
1051,AL,2.7,62524
1053,AL,4.1,41212
1055,AL,4.1,47872
1057,AL,3.1,45937
1059,AL,2.5,40448
1061,AL,2.8,39882
1063,AL,6.9,33609
1065,AL,5.7,41836
1067,AL,3.2,51126
1069,AL,3.4,54391
1071,AL,2.9,46606
1073,AL,3.6,57802
1075,AL,3.0,40204
1077,AL,3.2,52293
1079,AL,2.9,48924
1081,AL,2.8,58963
1083,AL,2.5,70850
1085,AL,9.2,37499
1087,AL,6.0,37736
1089,AL,2.7,67810
1091,AL,4.2,43198
1093,AL,2.8,44333
1095,AL,2.4,51417
1097,AL,4.7,50871
1099,AL,5.6,38812
1101,AL,4.9,49607
1103,AL,2.6,55688
1105,AL,8.3,33712
1107,AL,4.1,41870
1109,AL,3.2,43141
1111,AL,2.7,46679
1113,AL,3.1,40821
1115,AL,2.6,61973
1117,AL,2.1,88444
1119,AL,4.5,32275
1121,AL,4.1,44802
1123,AL,4.0,46654
1125,AL,3.6,56610
1127,AL,3.6,46519
1129,AL,4.7,36346
1131,AL,11.0,31909
1133,AL,2.8,46453
2013,AK,2.3,79128
2016,AK,3.6,92216
2020,AK,5.8,84577
2050,AK,13.1,52214
2060,AK,5.6,87032
2063,AK,6.7,84063
2066,AK,8.9,61215
2068,AK,10.1,80192
2070,AK,8.2,72334
2090,AK,5.0,76650
2100,AK,11.3,105044
2105,AK,9.3,55593
2110,AK,4.7,89204
2122,AK,7.3,68448
2130,AK,7.4,76780
2150,AK,6.4,72028
2158,AK,19.9,37566
2164,AK,8.9,54386
2170,AK,6.8,89502
2180,AK,9.7,64309
2185,AK,6.3,94759
2188,AK,11.5,65194
2195,AK,7.0,66096
2198,AK,8.0,53638
2220,AK,4.5,79363
2230,AK,14.2,78421
2240,AK,6.6,64544
2275,AK,7.5,64643
2282,AK,7.1,68352
2290,AK,12.4,43060
4001,AZ,9.1,36319
4003,AZ,4.8,51171
4005,AZ,6.0,57146
4007,AZ,5.0,49280
4009,AZ,4.1,55419
4011,AZ,4.0,67530
4012,AZ,5.1,41637
4013,AZ,4.5,71799
4015,AZ,5.5,46678
4017,AZ,6.5,46698
4019,AZ,5.0,56551
4021,AZ,4.7,66992
4023,AZ,8.7,44402
4025,AZ,4.1,58860
4027,AZ,12.9,54278
5001,AR,3.4,51186
5003,AR,7.4,44677
5005,AR,3.7,44833
5007,AR,2.8,78678
5009,AR,3.0,48153
5011,AR,4.7,41578
5013,AR,3.3,50865
5015,AR,3.4,45397
5017,AR,8.6,35992
5019,AR,4.7,46464
5021,AR,4.0,43723
5023,AR,4.6,49964
5025,AR,4.0,57697
5027,AR,5.3,44925
5029,AR,4.2,47049
5031,AR,3.3,51797
5033,AR,3.6,54534
5035,AR,5.4,47545
5037,AR,4.4,40587
5039,AR,4.1,34649
5041,AR,5.9,37421
5043,AR,5.0,46787
5045,AR,3.5,57367
5047,AR,3.7,47256
5049,AR,3.6,39839
5051,AR,5.0,46459
5053,AR,3.2,62077
5055,AR,3.4,53821
5057,AR,3.5,42790
5059,AR,3.9,49582
5061,AR,3.2,40566
5063,AR,3.9,50834
5065,AR,5.4,41787
5067,AR,5.2,40789
5069,AR,6.6,40588
5071,AR,4.7,39439
5073,AR,5.8,40007
5075,AR,4.3,41188
5077,AR,5.6,32502
5079,AR,4.6,47903
5081,AR,4.5,47125
5083,AR,4.2,43577
5085,AR,3.3,59623
5087,AR,3.1,45144
5089,AR,4.3,39888
5091,AR,4.8,43634
5093,AR,7.2,47892
5095,AR,5.3,35833
5097,AR,4.8,42751
5099,AR,4.0,41854
5101,AR,3.0,40698
5103,AR,3.9,46374
5105,AR,4.1,46317
5107,AR,7.7,35167
5109,AR,4.4,43133
5111,AR,3.9,36150
5113,AR,4.4,42915
5115,AR,4.0,46350
5117,AR,3.7,48478
