fips,ST,lat,lng,population
6037,CA,34.3209,-118.2247,10040682
17031,IL,41.8401,-87.8168,5169517
48201,TX,29.8578,-95.3936,4680609
4013,AZ,33.349,-112.4915,4412779
6073,CA,33.0343,-116.735,3323970
6059,CA,33.7031,-117.7609,3170345
12086,FL,25.6149,-80.5623,2705528
48113,TX,32.7666,-96.7778,2622634
36047,NY,40.6395,-73.9385,2576771
6065,CA,33.7437,-115.9938,2437864
36081,NY,40.7023,-73.8203,2270976
32003,NV,36.2152,-115.0135,2228866
53033,WA,47.4902,-121.8052,2225064
6071,CA,34.8414,-116.1785,2162532
48439,TX,32.7719,-97.2911,2077153
48029,TX,29.4489,-98.52,1978826
12011,FL,26.1523,-80.4871,1942273
6085,CA,37.2318,-121.6951,1924379
26163,MI,42.2819,-83.2822,1753059
6001,CA,37.6469,-121.8888,1661584
36061,NY,40.7784,-73.9674,1629153
25017,MA,42.4856,-71.3918,1605899
42101,PA,40.0077,-75.1339,1581531
6067,CA,38.4493,-121.3443,1537948
12099,FL,26.6476,-80.4655,1482057
36103,NY,40.8686,-72.8448,1481364
12057,FL,27.9292,-82.3092,1451358
36005,NY,40.85,-73.8661,1427056
12095,FL,28.5144,-81.3235,1373784
36059,NY,40.7328,-73.5865,1355683
39049,OH,39.9695,-83.0093,1304715
26125,MI,42.6604,-83.3858,1255340
27053,MN,45.0045,-93.477,1255296
48453,TX,30.3344,-97.782,1250884
39035,OH,41.4243,-81.6586,1241475
42003,PA,40.4688,-79.9812,1218380
51059,VA,38.8368,-77.277,1149439
6013,CA,37.9191,-121.9277,1147788
49035,UT,40.6673,-111.9236,1146215
37119,NC,35.2467,-80.8328,1095170
37183,NC,35.7903,-78.6503,1091662
13121,GA,33.7903,-84.467,1051550
24031,MD,39.1363,-77.2042,1047661
4019,AZ,32.0974,-111.7899,1038476
48085,TX,33.188,-96.5724,1006038
29189,MO,38.6407,-90.4434,996179
6019,CA,36.7582,-119.6493,990204
15003,HI,21.5008,-158.1053,979682
12103,FL,27.9199,-82.7256,970985
36119,NY,41.1624,-73.7561,968738
18097,IN,39.7817,-86.1385,957337
55079,WI,43.0072,-87.9669,949180
12031,FL,30.3316,-81.6708,948651
9001,CT,41.2711,-73.3893,944306
47157,TN,35.1842,-89.894,936611
34003,NJ,40.9597,-74.0742,931275
13135,GA,33.9617,-84.0236,926414
17043,IL,41.852,-88.0856,926005
36029,NY,42.7639,-78.7323,918873
24033,MD,38.8295,-76.8473,910551
6029,CA,35.3426,-118.7301,892458
9003,CT,41.8064,-72.7329,892153
53053,WA,47.0241,-122.1046,891862
6075,CA,37.7558,-122.4449,874784
26099,MI,42.6957,-82.9323,870893
48121,TX,33.2055,-97.1168,861690
48215,TX,26.3967,-98.1811,861137
9009,CT,41.4106,-72.9321,855733
6111,CA,34.4561,-119.0836,845599
48141,TX,31.7686,-106.2348,836915
24005,MD,39.4627,-76.6393,828193
42091,PA,40.2108,-75.3673,827180
25027,MA,42.3514,-71.9077,826655
34023,NJ,40.4392,-74.4117,825015
39061,OH,39.1955,-84.5428,815790
53061,WA,48.0475,-121.6975,811572
41051,OR,45.5468,-122.4148,809869
25025,MA,42.3334,-71.0719,801162
34013,NJ,40.7872,-74.2471,798698
40109,OK,35.5515,-97.4072,792668
48157,TX,29.5275,-95.7709,790892
25009,MA,42.6732,-70.952,787038
21111,KY,38.1872,-85.6591,768419
6081,CA,37.4229,-122.329,765623
13067,GA,33.9415,-84.5767,756653
12071,FL,26.5779,-81.8337,756570
13089,GA,33.7715,-84.2264,755287
6077,CA,37.9348,-121.2714,751615
36055,NY,43.1464,-77.6961,743084
8031,CO,39.762,-104.8758,715878
8041,CO,38.8321,-104.5255,710499
12105,FL,27.9489,-81.6977,705735
25021,MA,42.1605,-71.2114,703740
11001,DC,38.9047,-77.0163,701974
29095,MO,39.0085,-94.3461,700733
17097,IL,42.3233,-88.0037,699682
47037,TN,36.1695,-86.7847,690540
17197,IL,41.445,-87.9786,689704
35001,NM,35.0514,-106.6702,679037
34017,NJ,40.7371,-74.0779,671923
1073,AL,33.5543,-86.8964,658615
26081,MI,43.0322,-85.5493,652617
40143,OK,36.1211,-95.9415,650291
8005,CO,39.6498,-104.3392,649980
44007,RI,41.8721,-71.58,636161
42017,PA,40.337,-75.1069,627668
49049,UT,40.1199,-111.6703,621506
34025,NJ,40.2603,-74.2213,620821
24510,MD,39.3051,-76.6144,602274
34029,NJ,39.8855,-74.2813,602018
20091,KS,38.8838,-94.8223,597574
41067,OR,45.5601,-123.0983,595761
12009,FL,28.2936,-80.7323,594001
48339,TX,30.3002,-95.503,590188
8059,CO,39.5864,-105.2505,578795
24003,MD,39.0065,-76.6051,575421
48491,TX,30.6475,-97.6004,570437
31055,NE,41.2954,-96.1543,565739
42045,PA,39.9167,-75.3991,565328
25005,MA,41.7972,-71.1144,563301
10003,DE,39.5768,-75.6527,558306
34039,NJ,40.6601,-74.3087,555208
27123,MN,45.0171,-93.0996,546598
6099,CA,37.5591,-120.9977,546235
12127,FL,29.0583,-81.1819,546107
42071,PA,40.0424,-76.2477,543050
55025,WI,43.0673,-89.4181,542459
39153,OH,41.126,-81.5322,540810
12101,FL,28.3091,-82.3932,539885
37081,NC,36.0795,-79.7889,532956
39113,OH,39.7547,-84.2907,531988
17089,IL,41.9388,-88.4286,531756
42029,PA,39.9731,-75.7484,521980
25023,MA,41.9512,-70.8114,518597
45045,SC,34.8941,-82.3706,516126
20173,KS,37.6848,-97.461,515416
53063,WA,47.6207,-117.404,513402
8001,CO,39.8737,-104.3379,509844
34007,NJ,39.8035,-74.9597,506721
34031,NJ,41.0343,-74.3008,502763
6097,CA,38.5289,-122.8881,496801
34027,NJ,40.862,-74.5445,492715
18089,IN,41.4167,-87.3821,485983
19153,IA,41.6855,-93.5735,485418
53011,WA,45.7791,-122.4826,481950
36085,NY,40.5808,-74.1524,475596
16001,ID,43.4511,-116.2412,469473
51153,VA,38.7029,-77.4809,466834
12117,FL,28.717,-81.2363,466695
25013,MA,42.1351,-72.6316,466647
47093,TN,35.9932,-83.9371,466184
32031,NV,40.6656,-119.6643,464182
6107,CA,36.2202,-118.8005,463955
