fips,Recip_County,ST,Vax_Pct
1001,Autauga County,AL,45.1
1003,Baldwin County,AL,52.2
1005,Barbour County,AL,46.7
1007,Bibb County,AL,35.8
1009,Blount County,AL,32.4
1011,Bullock County,AL,55.7
1013,Butler County,AL,40.3
1015,Calhoun County,AL,48.1
1017,Chambers County,AL,32.5
1019,Cherokee County,AL,31.6
1021,Chilton County,AL,37.0
1023,Choctaw County,AL,67.7
1025,Clarke County,AL,51.8
1027,Clay County,AL,43.0
1029,Cleburne County,AL,29.3
1031,Coffee County,AL,48.0
1033,Colbert County,AL,48.8
1035,Conecuh County,AL,44.7
1037,Coosa County,AL,41.5
1039,Covington County,AL,38.7
1041,Crenshaw County,AL,35.2
1043,Cullman County,AL,38.8
1045,Dale County,AL,48.6
1047,Dallas County,AL,46.5
1049,DeKalb County,AL,34.7
1051,Elmore County,AL,47.5
1053,Escambia County,AL,37.4
1055,Etowah County,AL,41.9
1057,Fayette County,AL,35.8
1059,Franklin County,AL,44.6
1061,Geneva County,AL,40.9
1063,Greene County,AL,52.1
1065,Hale County,AL,62.3
1067,Henry County,AL,46.1
1069,Houston County,AL,44.1
1071,Jackson County,AL,50.4
1073,Jefferson County,AL,59.9
1075,Lamar County,AL,44.9
1077,Lauderdale County,AL,47.7
1079,Lawrence County,AL,47.8
1081,Lee County,AL,41.3
1083,Limestone County,AL,39.6
1085,Lowndes County,AL,52.7
1087,Macon County,AL,49.3
1089,Madison County,AL,63.8
1091,Marengo County,AL,55.2
1093,Marion County,AL,37.0
1095,Marshall County,AL,46.7
1097,Mobile County,AL,51.1
1099,Monroe County,AL,44.3
1101,Montgomery County,AL,53.7
1103,Morgan County,AL,44.4
1105,Perry County,AL,49.6
1107,Pickens County,AL,51.0
1109,Pike County,AL,43.0
1111,Randolph County,AL,33.7
1113,Russell County,AL,43.1
1115,St. Clair County,AL,40.0
1117,Shelby County,AL,37.1
1119,Sumter County,AL,53.2
1121,Talladega County,AL,37.3
1123,Tallapoosa County,AL,39.2
1125,Tuscaloosa County,AL,44.6
1127,Walker County,AL,48.3
1129,Washington County,AL,46.7
1131,Wilcox County,AL,54.7
1133,Winston County,AL,22.3
2013,Aleutians East Borough,AK,74.6
2016,Aleutians West Census Area,AK,63.6
2020,Anchorage Municipality,AK,68.7
2050,Bethel Census Area,AK,68.2
2060,Bristol Bay Borough,AK,95.0
2068,Denali Borough,AK,54.7
2070,Dillingham Census Area,AK,53.0
2090,Fairbanks North Star Borough,AK,61.6
2100,Haines Borough,AK,70.2
2105,Hoonah-Angoon Census Area,AK,71.0
2110,Juneau City and Borough,AK,78.2
2122,Kenai Peninsula Borough,AK,49.3
2130,Ketchikan Gateway Borough,AK,66.7
2150,Kodiak Island Borough,AK,66.1
2158,Kusilvak Census Area,AK,68.5
2164,Lake and Peninsula Borough,AK,59.9
2170,Matanuska-Susitna Borough,AK,41.5
2180,Nome Census Area,AK,71.2
2185,North Slope Borough,AK,39.8
2188,Northwest Arctic Borough,AK,62.3
2195,Petersburg Census Area,AK,77.0
2198,Prince of Wales-Hyder Census Area,AK,54.0
2220,Sitka City and Borough,AK,79.7
2230,Skagway Municipality,AK,73.3
2240,Southeast Fairbanks Census Area,AK,41.7
2275,Wrangell City and Borough,AK,59.7
2282,Yakutat City and Borough,AK,78.8
