fips,ST,lat,lng,population,Recip_County,Vax_Pct,date,county,cases,deaths,Unemployment_rate_2021,Median_Household_Income_2020,cases_100000,deaths_100000
6037,CA,34.3209,-118.2247,10040682,Los Angeles County,73.6,2022-09-14,Los Angeles,3434458.0,33414.0,8.9,75624,34205.4254880296,332.7861593465464
17031,IL,41.8401,-87.8168,5169517,Cook County,73.7,2022-09-14,Cook,1392834.0,15312.0,7.0,71611,26943.213456885816,296.1978846379652
48201,TX,29.8578,-95.3936,4680609,Harris County,64.7,2022-09-14,Harris,1208024.0,11270.0,6.5,61906,25809.120137999136,240.780633460304
4013,AZ,33.349,-112.4915,4412779,Maricopa County,58.8,2022-09-14,Maricopa,1421340.0,17865.0,4.5,71799,32209.63479023083,404.84692299342436
6073,CA,33.0343,-116.735,3323970,San Diego County,77.9,2022-09-14,San Diego,986208.0,5474.0,6.5,87126,29669.58185543191,164.6825934048743
6059,CA,33.7031,-117.7609,3170345,Orange County,73.3,2022-09-14,Orange,721702.0,7389.0,6.0,98786,22764.147119635243,233.0661174099349
12086,FL,25.6149,-80.5623,2705528,Miami-Dade County,86.8,2022-09-14,Miami-Dade,1444021.0,11678.0,5.2,59259,53372.98301847181,431.63478625983544
48113,TX,32.7666,-96.7778,2622634,Dallas County,61.2,2022-09-14,Dallas,655208.0,6896.0,5.6,65770,24982.82261268633,262.9417600778454
6065,CA,33.7437,-115.9938,2437864,Riverside County,60.7,2022-09-14,Riverside,724864.0,6673.0,7.3,76409,29733.57004328379,273.72322656226925
32003,NV,36.2152,-115.0135,2228866,Clark County,58.9,2022-09-14,Clark,638710.0,8930.0,8.3,62496,28656.276330654247,400.65217020673293
53033,WA,47.4902,-121.8052,2225064,King County,82.8,2022-09-14,King,510571.0,3145.0,4.3,102620,22946.351206077667,141.34424897441153
6071,CA,34.8414,-116.1785,2162532,San Bernardino County,59.1,2022-09-14,San Bernardino,692549.0,8057.0,7.4,65984,32024.913388564884,372.5725214702025
48439,TX,32.7719,-97.2911,2077153,Tarrant County,57.2,2022-09-14,Tarrant,644102.0,6080.0,5.3,72064,31008.88572002159,292.7083368437472
48029,TX,29.4489,-98.52,1978826,Bexar County,71.0,2022-09-14,Bexar,654816.0,6313.0,5.4,60477,33091.13585530006,319.02754461483727
12011,FL,26.1523,-80.4871,1942273,Broward County,72.6,2022-09-14,Broward,726187.0,6333.0,4.9,63901,37388.51335522864,326.06126945079296
6085,CA,37.2318,-121.6951,1924379,Santa Clara County,87.8,2022-09-14,Santa Clara,445503.0,2478.0,4.7,139462,23150.48127214026,128.76881321195046
26163,MI,42.2819,-83.2822,1753059,Wayne County,55.0,2022-09-14,Wayne,480911.0,8375.0,8.0,51777,27432.676253337733,477.73634543960014
6001,CA,37.6469,-121.8888,1661584,Alameda County,83.9,2022-09-14,Alameda,362660.0,2112.0,6.1,113518,21826.161060770926,127.1076274205818
25017,MA,42.4856,-71.3918,1605899,Middlesex County,81.7,2022-09-14,Middlesex,399943.0,4270.0,4.6,111158,24904.61728913213,265.89467955332185
42101,PA,40.0077,-75.1339,1581531,Philadelphia County,72.3,2022-09-14,Philadelphia,359969.0,5275.0,9.2,55102,22760.79318078495,333.53756581439126
6067,CA,38.4493,-121.3443,1537948,Sacramento County,69.1,2022-09-14,Sacramento,376253.0,3425.0,7.0,72953,24464.611287247684,222.69933703870353
12099,FL,26.6476,-80.4655,1482057,Palm Beach County,67.5,2022-09-14,Palm Beach,445832.0,5575.0,4.3,68200,30081.97390518718,376.1663687698921
